location,country,latitude,longitude,start,end,parameters,exact_url
Abu Dhabi,United Arab Emirates,24.4539,54.3773,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=54.3773&latitude=24.4539&start=20140101&end=20231231&format=JSON
NEOM Bay/Sharma,Saudi Arabia,28.112,35.194,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=35.194&latitude=28.112&start=20140101&end=20231231&format=JSON
Jodhpur,India,26.2389,73.0243,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=73.0243&latitude=26.2389&start=20140101&end=20231231&format=JSON
Las Vegas,United States,36.1699,-115.1398,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=-115.1398&latitude=36.1699&start=20140101&end=20231231&format=JSON
Phoenix,United States,33.4484,-112.074,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=-112.074&latitude=33.4484&start=20140101&end=20231231&format=JSON
Antofagasta,Chile,-23.6509,-70.3975,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=-70.3975&latitude=-23.6509&start=20140101&end=20231231&format=JSON
Alice Springs,Australia,-23.698,133.8807,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=133.8807&latitude=-23.698&start=20140101&end=20231231&format=JSON
Dunhuang,China,40.1421,94.6618,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=94.6618&latitude=40.1421&start=20140101&end=20231231&format=JSON
Aswan,Egypt,24.0889,32.8998,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=32.8998&latitude=24.0889&start=20140101&end=20231231&format=JSON
Ouarzazate,Morocco,30.9335,-6.937,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN%2CT2M%2CT2M_MAX%2CRH2M%2CWS10M&community=RE&longitude=-6.937&latitude=30.9335&start=20140101&end=20231231&format=JSON
