location,country,latitude,longitude,mean_ghi_kwh_m2_day,heat_mean_annual_p95_tmax_c,mean_rh_pct,ghi_mean_within_month_daily_cv,wind_mean_annual_p95_ws10m_ms,climate_context_equal_weight,dominates_count,dominated_by_count,pareto_nondominated,bootstrap_pareto_frequency,bootstrap_mean_dominates_count,bootstrap_context_mean,bootstrap_context_sd,leave_one_year_out_pareto_frequency,leave_one_year_out_context_range,normalized_heat,normalized_humidity,normalized_ghi_variability,normalized_wind_exposure
Abu Dhabi,United Arab Emirates,24.4539,54.3773,5.7559042548843475,40.15465,60.741327457145,0.10057390581826293,6.688650000000001,0.6168331796339219,2,5,False,0.0,1.5422,0.6168054448112757,0.018625577995717645,0.0,0.02484917491050853,0.7770453600060504,0.6439170358683353,0.2629177827377652,0.783452539923537
Alice Springs,Australia,-23.698,133.8807,6.2726135253387225,40.142,34.02830568904858,0.17328116274600522,6.964449999999999,0.6711255798640937,1,2,False,0.0017,0.8556,0.6712600503473343,0.01736698629729457,0.0,0.017231288549895307,0.7764473982756015,0.1471020456275446,0.876598511860325,0.8843543636929038
Antofagasta,Chile,-23.6509,-70.3975,6.254836915637399,23.7161,79.88739220750058,0.11313246422786546,4.547200000000001,0.34222936332399834,6,0,True,1.0,6.5986,0.34240962750870546,0.004521234079051345,1.0,0.005776684954384326,0.0,1.0,0.3689174532959934,0.0
Aswan,Egypt,24.0889,32.8998,6.500275261845947,44.8713,26.118841956733284,0.06942410776656412,6.256100000000002,0.40630087621416955,8,0,True,1.0,7.9983,0.4064487687211265,0.005723641812269685,1.0,0.007480175606044415,1.0,0.0,0.0,0.6252035048566781
Dunhuang,China,40.1421,94.6618,4.920636980013474,35.763549999999995,27.38441321206677,0.18790144211548374,5.648700000000001,0.49900052690843794,0,3,False,0.0,0.0,0.4987990015903988,0.010950452686669812,0.0,0.012046143532276177,0.5694793715020419,0.0235373884813907,1.0,0.4029853476503191
Jodhpur,India,26.2389,73.0243,5.500652516880005,42.9049,43.55328446740025,0.13847085993172084,6.387550000000001,0.6218444581825784,0,6,False,0.0,0.0378,0.6217364447661963,0.015806802145689823,0.0,0.017345565692634457,0.9070488579639994,0.3242498157260279,0.5827844840078169,0.6732946750324693
Las Vegas,United States,36.1699,-115.1398,5.574047787034958,42.80300000000001,30.068151216408417,0.17654628414858203,7.0325000000000015,0.6972725877052639,0,7,False,0.0,0.0001,0.6972466005670547,0.020524069013897334,0.0,0.024105365122316758,0.9022320753289977,0.07345017191752858,0.9041575502242446,0.9092505533502847
NEOM Bay/Sharma,Saudi Arabia,28.112,35.194,6.280467821842953,39.65835,43.61921884123064,0.10148663185264159,7.280550000000001,0.5874207677744323,4,1,False,0.0,3.6296,0.5869351890367611,0.006257402913748239,0.0,0.006314942001755419,0.7535854068975949,0.3254760785417981,0.27062158565833605,1.0
Ouarzazate,Morocco,30.9335,-6.937,5.9590972215734705,37.16335,39.30184036978816,0.13964266571906694,6.616249999999999,0.5576169747480376,3,2,False,0.0,2.9364,0.5583878336314977,0.02857070205741884,0.0,0.03500581299210004,0.6356475003781578,0.2451804698391835,0.592675032219301,0.7569648965555081
Phoenix,United States,33.4484,-112.074,5.8224006484018265,43.259550000000004,33.21545405344712,0.15817033719332646,4.62435,0.45826988471816876,4,2,False,0.0,3.8654,0.4581548848808643,0.00820170034354745,0.0,0.01143620639227011,0.923813057782484,0.13198444190175207,0.749056601538669,0.028225437649769963
