location,country,mean_ghi_kwh_m2_day,climate_context_equal_weight,pareto_nondominated,ghi_benefit_minmax,climate_benefit_minmax,WSM_score,WSM_rank,TOPSIS_closeness,TOPSIS_rank,VIKOR_S,VIKOR_R,VIKOR_Q,VIKOR_rank
Antofagasta,Chile,6.254836915637399,0.3422293633239983,True,0.8446237033937762,1.0,0.9223118516968881,1,0.8938933813499365,1,0.07768814830311188,0.07768814830311188,0.0,1
Aswan,Egypt,6.500275261845947,0.4063008762141695,True,1.0,0.8195388378363543,0.9097694189181771,2,0.877519081639466,2,0.09023058108182286,0.09023058108182286,0.023614666996635787,2
Phoenix,United States,5.8224006484018265,0.4582698847181687,False,0.5708671907737345,0.6731650868809159,0.6220161388273252,3,0.6206742676006157,3,0.3779838611726748,0.21456640461313276,0.37191177031408407,3
NEOM Bay/Sharma,Saudi Arabia,6.280467821842953,0.5874207677744323,False,0.8608495105930171,0.3094040736089825,0.5851267921009997,4,0.564934314272019,4,0.41487320789900023,0.34529796319550876,0.5524717188889575,5
Ouarzazate,Morocco,5.959097221573471,0.5576169747480376,False,0.6574038205476527,0.39334819922448694,0.5253760098860698,5,0.5237182547286955,5,0.4746239901139302,0.30332590038775653,0.5445337199634088,4
Alice Springs,Australia,6.2726135253387225,0.6711255798640937,False,0.8558772985400661,0.07364457633781527,0.4647609374389407,6,0.47816361387096185,6,0.5352390625610592,0.46317771183109235,0.7761509384871008,7
Abu Dhabi,United Arab Emirates,5.755904254884348,0.6168331796339219,False,0.5287712285004359,0.22656229593318913,0.3776667622168125,7,0.38844352639288426,7,0.6223332377831875,0.38671885203340545,0.7464901664627237,6
Jodhpur,India,5.500652516880005,0.6218444581825784,False,0.3671825021825118,0.21244773690339883,0.2898151195429553,8,0.2957203565702948,9,0.7101848804570448,0.3937761315483006,0.8162384310623939,8
Dunhuang,China,4.920636980013474,0.4990005269084379,False,0.0,0.5584448517285608,0.2792224258642804,9,0.3381251612587176,8,0.7207775741357196,0.5,0.9494055730333757,9
Las Vegas,United States,5.574047787034958,0.6972725877052639,False,0.4136458419224239,0.0,0.20682292096121194,10,0.26298717962075946,10,0.7931770790387881,0.5,1.0,10
