location,resource_weight,each_climate_component_weight,WSM_score,WSM_rank,TOPSIS_closeness,TOPSIS_rank,VIKOR_Q,VIKOR_rank
Abu Dhabi,0.5,0.125,0.45596902443325693,7,0.4996668232483863,7,0.47253215494665146,7
Alice Springs,0.5,0.125,0.5923758593379863,4,0.6908946828250064,4,0.18712708695844518,4
Antofagasta,0.5,0.125,0.751197170034889,2,0.7507568580115485,2,0.06033830713593273,2
Aswan,0.5,0.125,0.7968495618929152,1,0.7831476653348214,1,0.01855885582099901,1
Dunhuang,0.5,0.125,0.25049973654578106,10,0.22625349258596428,10,1.0,10
Jodhpur,0.5,0.125,0.37266902199996677,8,0.3740801853997899,9,0.6524926471128849,9
Las Vegas,0.5,0.125,0.35818662710857996,9,0.4027938007624813,8,0.6359206037981343,8
NEOM Bay/Sharma,0.5,0.125,0.6367143714092923,3,0.7146758451263058,3,0.16510890768738123,3
Ouarzazate,0.5,0.125,0.5498934228998076,6,0.6077655833942727,5,0.3040038439991532,5
Phoenix,0.5,0.125,0.5562986530277829,5,0.558024288781648,6,0.3536917297606429,6
