location,latitude,longitude,start,end,parameters,community,format,url
Abu Dhabi,24.4539,54.3773,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=54.3773&latitude=24.4539&start=20140101&end=20231231&format=CSV"
NEOM Bay/Sharma,28.112,35.194,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=35.194&latitude=28.112&start=20140101&end=20231231&format=CSV"
Jodhpur,26.2389,73.0243,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=73.0243&latitude=26.2389&start=20140101&end=20231231&format=CSV"
Las Vegas,36.1699,-115.1398,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=-115.1398&latitude=36.1699&start=20140101&end=20231231&format=CSV"
Phoenix,33.4484,-112.074,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=-112.074&latitude=33.4484&start=20140101&end=20231231&format=CSV"
Antofagasta,-23.6509,-70.3975,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=-70.3975&latitude=-23.6509&start=20140101&end=20231231&format=CSV"
Alice Springs,-23.698,133.8807,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=133.8807&latitude=-23.698&start=20140101&end=20231231&format=CSV"
Dunhuang,40.1421,94.6618,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=94.6618&latitude=40.1421&start=20140101&end=20231231&format=CSV"
Aswan,24.0889,32.8998,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=32.8998&latitude=24.0889&start=20140101&end=20231231&format=CSV"
Ouarzazate,30.9335,-6.937,20140101,20231231,"ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M",RE,CSV,"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,RH2M,WS10M&community=RE&longitude=-6.937&latitude=30.9335&start=20140101&end=20231231&format=CSV"
