location,country,latitude,longitude,mean_ghi_kwh_m2_day,cv_ghi,mean_t2m_c,mean_t2m_max_c,mean_rh_pct,mean_ws10m_ms,cv_ws10m
Abu Dhabi,United Arab Emirates,24.4539,54.3773,5.7560,0.2291,28.4995,31.8782,60.7417,3.8806,0.3512
NEOM Bay/Sharma,Saudi Arabia,28.1120,35.1940,6.2805,0.2727,26.9320,31.0870,43.6193,4.3728,0.3633
Jodhpur,India,26.2389,73.0243,5.5007,0.2465,26.6107,34.2110,43.5540,3.5204,0.4183
Las Vegas,United States,36.1699,-115.1398,5.5741,0.3797,20.3905,27.8320,30.0677,3.6851,0.4576
Phoenix,United States,33.4484,-112.0740,5.8224,0.3438,22.8188,30.5336,33.2146,2.9504,0.3012
Antofagasta,Chile,-23.6509,-70.3975,6.2549,0.2987,17.7853,19.8940,79.8874,3.1515,0.2412
Alice Springs,Australia,-23.6980,133.8807,6.2725,0.2768,22.2376,30.3235,34.0288,4.6673,0.2832
Dunhuang,China,40.1421,94.6618,4.9207,0.4040,11.9064,18.2268,27.3850,3.4883,0.3308
Aswan,Egypt,24.0889,32.8998,6.5003,0.2101,26.3994,35.2282,26.1190,4.3203,0.2659
Ouarzazate,Morocco,30.9335,-6.9370,5.9591,0.2832,16.8944,25.0639,39.3021,3.6606,0.4398
