location,country,latitude,longitude,mean_ghi_kwh_m2_day,cv_ghi,mean_t2m_c,mean_t2m_max_c,mean_rh_pct,mean_ws10m_ms,cv_ws10m,z_tmean,z_tmax,z_heat,z_ghi_cv,z_wind_cv,z_rh,context_raw,climate_context,resource_ratio,context_rank,resource_rank
Abu Dhabi,United Arab Emirates,24.4539,54.3773,5.756,0.2291,28.4995,31.8782,60.7417,3.8806,0.3512,1.0,0.8029574035079463,0.9211829614031786,0.09798865394533258,0.5083179297597042,0.6439228245586628,0.6185190662140114,0.9687867063446185,0.8854975924188114,2,7
NEOM Bay/Sharma,Saudi Arabia,28.112,35.194,6.2805,0.2727,26.932,31.087,43.6193,4.3728,0.3633,0.9055330227624735,0.7564200595245096,0.8458878374672879,0.3228468282619906,0.5642329020332718,0.32547555813451773,0.5808661926728712,0.8585825894124443,0.9661861760226451,4,2
Jodhpur,India,26.2389,73.0243,5.5007,0.2465,26.6107,34.211,43.554,3.5204,0.4183,0.8861695524043127,0.9401696330890396,0.9077695846782035,0.187725631768953,0.8183918669131238,0.32426109015704396,0.6291835516391057,1.0,0.8462224820392905,1,9
Las Vegas,United States,36.1699,-115.1398,5.5741,0.3797,20.3905,27.832,30.0677,3.6851,0.4576,0.5113028909607005,0.5649652381568576,0.5327678298391634,0.8746776689014955,1.0,0.07343904598239856,0.6027304749124442,0.9225759500768107,0.8575142685722197,3,8
Phoenix,United States,33.4484,-112.074,5.8224,0.3438,22.8188,30.5336,33.2146,2.9504,0.3012,0.6576468532100692,0.7238697989577328,0.6841360315091347,0.6895306859205775,0.27726432532347517,0.13196598745731689,0.4934066123439279,0.6026019719735478,0.8957125055766657,5,6
Antofagasta,Chile,-23.6509,-70.3975,6.2549,0.2987,17.7853,19.894,79.8874,3.1515,0.2412,0.35429787080171876,0.09806251249897052,0.25180372748061947,0.45693656523981435,0.0,1.0,0.3921088040402107,0.3061190090177869,0.9622478962509422,9,4
Alice Springs,Australia,-23.698,133.8807,6.2725,0.2768,22.2376,30.3235,34.0288,4.6673,0.2832,0.6226202457648059,0.7115119931299775,0.6581769447108745,0.3439917483238782,0.19408502772643257,0.14710871069252568,0.4003078752329171,0.33011641786014206,0.964955463593988,7,3
Dunhuang,China,40.1421,94.6618,4.9207,0.404,11.9064,18.2268,27.385,3.4883,0.3308,0.0,0.0,0.0,1.0,0.41404805914972265,0.02354542816970566,0.2875186974638857,0.0,0.7569958309616479,10,10
Aswan,Egypt,24.0889,32.8998,6.5003,0.2101,26.3994,35.2282,26.119,4.3203,0.2659,0.87343534360668,1.0,0.924061206164008,0.0,0.11414048059149735,0.0,0.3924525785839027,0.30712518375156767,1.0,8,1
Ouarzazate,Morocco,30.9335,-6.937,5.9591,0.2832,16.8944,25.0639,39.3021,3.6606,0.4398,0.30060687876285935,0.40214923476890135,0.34122382116527616,0.37699845281072714,0.9177449168207025,0.24518304431599236,0.4444748112555949,0.459386184659238,0.9167423042013446,6,5
