location,country,technology,resource_ratio,climate_context,technical_score_Q,resource_resilience_score_A,rank_within_location
Abu Dhabi,United Arab Emirates,PERC PV,0.8854975924188114,0.9687867063446185,0.6362816189092418,0.5634258416444773,4
Abu Dhabi,United Arab Emirates,TOPCon PV,0.8854975924188114,0.9687867063446185,0.7384811756239265,0.6539233030616003,1
Abu Dhabi,United Arab Emirates,SHJ/HJT PV,0.8854975924188114,0.9687867063446185,0.70683618218251,0.625901737557117,2
Abu Dhabi,United Arab Emirates,CdTe PV,0.8854975924188114,0.9687867063446185,0.6508588556167907,0.576333949653131,3
NEOM Bay/Sharma,Saudi Arabia,PERC PV,0.9661861760226451,0.8585825894124443,0.6597383485156659,0.6374300721278464,4
NEOM Bay/Sharma,Saudi Arabia,TOPCon PV,0.9661861760226451,0.8585825894124443,0.7510384444922706,0.7256429627299826,1
NEOM Bay/Sharma,Saudi Arabia,SHJ/HJT PV,0.9661861760226451,0.8585825894124443,0.7165616172855069,0.6923319288896861,2
NEOM Bay/Sharma,Saudi Arabia,CdTe PV,0.9661861760226451,0.8585825894124443,0.6618532355720844,0.6394734467656071,3
Jodhpur,India,PERC PV,0.8462224820392905,1.0,0.6297907966290701,0.5329431310889537,4
Jodhpur,India,TOPCon PV,0.8462224820392905,1.0,0.7349628676277483,0.6219421020506677,1
Jodhpur,India,SHJ/HJT PV,0.8462224820392905,1.0,0.704105696712958,0.5958300702904432,2
Jodhpur,India,CdTe PV,0.8462224820392905,1.0,0.6477782211228928,0.5481644940896108,3
Las Vegas,United States,PERC PV,0.8575142685722197,0.9225759500768107,0.6460142069965733,0.553966400199929,4
Las Vegas,United States,TOPCon PV,0.8575142685722197,0.9225759500768107,0.7437209203010248,0.6377513009937913,1
Las Vegas,United States,SHJ/HJT PV,0.8575142685722197,0.9225759500768107,0.7108980745441422,0.6096052424221194,2
Las Vegas,United States,CdTe PV,0.8575142685722197,0.9225759500768107,0.6554466043595266,0.5620548155255045,3
Phoenix,United States,PERC PV,0.8957125055766657,0.6026019719735478,0.7176148091620133,0.6427765587534277,3
Phoenix,United States,TOPCon PV,0.8957125055766657,0.6026019719735478,0.7810364939762638,0.6995841549662937,1
Phoenix,United States,SHJ/HJT PV,0.8957125055766657,0.6026019719735478,0.7396712551850999,0.6625327932848831,2
Phoenix,United States,CdTe PV,0.8957125055766657,0.6026019719735478,0.6881128747941236,0.616351307201407,4
Antofagasta,Chile,PERC PV,0.9622478962509422,0.3061190090177869,0.7910234401814246,0.7611606411997588,2
Antofagasta,Chile,TOPCon PV,0.9622478962509422,0.3061190090177869,0.817281647571491,0.7864275460201712,1
Antofagasta,Chile,SHJ/HJT PV,0.9622478962509422,0.3061190090177869,0.7673704919913367,0.7384006415637142,3
Antofagasta,Chile,CdTe PV,0.9622478962509422,0.3061190090177869,0.7198323207545755,0.6926571362995237,4
Alice Springs,Australia,PERC PV,0.964955463593988,0.33011641786014206,0.7848121989299146,0.7573088192526328,2
Alice Springs,Australia,TOPCon PV,0.964955463593988,0.33011641786014206,0.8142864153879382,0.7857501254589546,1
Alice Springs,Australia,SHJ/HJT PV,0.964955463593988,0.33011641786014206,0.7650904380024984,0.7382781982940282,3
Alice Springs,Australia,CdTe PV,0.964955463593988,0.33011641786014206,0.7172114388371152,0.6920770964579797,4
Dunhuang,China,PERC PV,0.7569958309616479,0.0,0.874705882351,0.6621487062573367,1
Dunhuang,China,TOPCon PV,0.7569958309616479,0.0,0.856470588242,0.6483446646404641,2
Dunhuang,China,SHJ/HJT PV,0.7569958309616479,0.0,0.79705882354,0.6033702064509758,3
Dunhuang,China,CdTe PV,0.7569958309616479,0.0,0.754117647058,0.5708639148775134,4
Aswan,Egypt,PERC PV,1.0,0.30712518375156767,0.7907620276738506,0.7907620276738506,2
Aswan,Egypt,TOPCon PV,1.0,0.30712518375156767,0.8171558410493074,0.8171558410493074,1
Aswan,Egypt,SHJ/HJT PV,1.0,0.30712518375156767,0.7672747564724529,0.7672747564724529,3
Aswan,Egypt,CdTe PV,1.0,0.30712518375156767,0.7197222390544157,0.7197222390544157,4
Ouarzazate,Morocco,PERC PV,0.9167423042013446,0.459386184659238,0.7521827655646061,0.6895577616842368,3
Ouarzazate,Morocco,TOPCon PV,0.9167423042013446,0.459386184659238,0.798339456791047,0.7318715531534742,1
Ouarzazate,Morocco,SHJ/HJT PV,0.9167423042013446,0.459386184659238,0.7529242275908037,0.690237491290611,2
Ouarzazate,Morocco,CdTe PV,0.9167423042013446,0.459386184659238,0.7032564973421245,0.644704981817986,4
