location,CdTe PV,PERC PV,SHJ/HJT PV,TOPCon PV
Abu Dhabi,0.576333949653131,0.5634258416444773,0.625901737557117,0.6539233030616003
NEOM Bay/Sharma,0.6394734467656071,0.6374300721278464,0.6923319288896861,0.7256429627299826
Jodhpur,0.5481644940896108,0.5329431310889537,0.5958300702904432,0.6219421020506677
Las Vegas,0.5620548155255045,0.553966400199929,0.6096052424221194,0.6377513009937913
Phoenix,0.616351307201407,0.6427765587534277,0.6625327932848831,0.6995841549662937
Antofagasta,0.6926571362995237,0.7611606411997588,0.7384006415637142,0.7864275460201712
Alice Springs,0.6920770964579797,0.7573088192526328,0.7382781982940282,0.7857501254589546
Dunhuang,0.5708639148775134,0.6621487062573367,0.6033702064509758,0.6483446646404641
Aswan,0.7197222390544157,0.7907620276738506,0.7672747564724529,0.8171558410493074
Ouarzazate,0.644704981817986,0.6895577616842368,0.690237491290611,0.7318715531534742
